,pdb_id,number_chain,protein_1,protein_2,
903,4dkd,3,NaN,NaN,NaN
904,4dke,6,NaN,NaN,NaN
905,4dkf,6,NaN,NaN,NaN
906,4dm6,4,NaN,NaN,NaN
907,4dm8,4,NaN,NaN,NaN
908,4dn4,3,NaN,NaN,NaN
909,4doh,6,NaN,NaN,NaN
910,4doq,5,NaN,NaN,NaN
911,4dpg,12,NaN,NaN,NaN
912,4dra,8,NaN,NaN,NaN
913,4drb,15,NaN,NaN,NaN
914,4drx,6,NaN,NaN,NaN
915,4dtg,3,NaN,NaN,NaN
916,4dx8,8,NaN,NaN,NaN
917,400000,3,NaN,NaN,NaN
918,4E+041,10,NaN,NaN,NaN
919,4E+042,4,NaN,NaN,NaN
920,4eah,8,NaN,NaN,NaN
921,4edw,3,NaN,NaN,NaN
922,4eee,4,NaN,NaN,NaN
923,4eef,9,NaN,NaN,NaN
924,4ei5,8,NaN,NaN,NaN
925,4eiz,4,NaN,NaN,NaN
926,4ekc,4,NaN,NaN,NaN
927,4elm,8,NaN,NaN,NaN
928,4en3,4,NaN,NaN,NaN
929,4eo5,3,NaN,NaN,NaN
930,4eoz,4,NaN,NaN,NaN
931,4eqa,4,NaN,NaN,NaN
932,4ers,3,NaN,NaN,NaN
933,4etq,6,NaN,NaN,NaN
934,4etw,4,NaN,NaN,NaN
935,4f0z,3,NaN,NaN,NaN
936,4f37,6,NaN,NaN,NaN
937,4f3f,3,NaN,NaN,NaN
938,4f6r,4,NaN,NaN,NaN
939,4f9l,4,NaN,NaN,NaN
940,4f9p,4,NaN,NaN,NaN
941,4fao,36,NaN,NaN,NaN
942,4ffy,3,NaN,NaN,NaN
943,4ffz,6,NaN,NaN,NaN
944,4fq0,4,NaN,NaN,NaN
945,4fqi,4,NaN,NaN,NaN
946,4fqj,3,NaN,NaN,NaN
947,4fqv,12,NaN,NaN,NaN
948,4fqy,4,NaN,NaN,NaN
949,4ft4,4,NaN,NaN,NaN
950,4ftg,5,NaN,NaN,NaN
951,5jpm,10,NaN,NaN,NaN
952,4g3y,3,NaN,NaN,NaN
953,4g4s,16,NaN,NaN,NaN
954,4g59,4,NaN,NaN,NaN
955,4g6f,6,NaN,NaN,NaN
956,4g6j,3,NaN,NaN,NaN
957,4g6m,3,NaN,NaN,NaN
958,4g6v,8,NaN,NaN,NaN
959,4g8a,4,NaN,NaN,NaN
960,4g8g,5,NaN,NaN,NaN
961,4g9f,5,NaN,NaN,NaN
962,4geh,4,NaN,NaN,NaN
963,4geq,6,NaN,NaN,NaN
964,4gg6,10,NaN,NaN,NaN
965,4gh7,4,NaN,NaN,NaN
966,4gko,12,NaN,NaN,NaN
967,4gla,4,NaN,NaN,NaN
968,4glv,8,NaN,NaN,NaN
969,4gms,12,NaN,NaN,NaN
970,4gn3,18,NaN,NaN,NaN
971,4gn5,4,NaN,NaN,NaN
972,4gnk,5,NaN,NaN,NaN
973,4grl,4,NaN,NaN,NaN
974,4gu0,6,NaN,NaN,NaN
975,4gur,3,NaN,NaN,NaN
976,4gxu,24,NaN,NaN,NaN
977,4h1l,10,NaN,NaN,NaN
978,4h2s,4,NaN,NaN,NaN
979,4h2w,4,NaN,NaN,NaN
980,4h3p,4,NaN,NaN,NaN
981,4h88,3,NaN,NaN,NaN
982,4hdq,3,NaN,NaN,NaN
983,4hem,6,NaN,NaN,NaN
984,4hfk,4,NaN,NaN,NaN
985,4hgk,4,NaN,NaN,NaN
986,4hh3,3,NaN,NaN,NaN
987,4hix,3,NaN,NaN,NaN
988,4hj0,6,NaN,NaN,NaN
989,4hjj,3,NaN,NaN,NaN
990,4hkj,16,NaN,NaN,NaN
991,4hkx,3,NaN,NaN,NaN
992,4hlz,12,NaN,NaN,NaN
993,4hmy,5,NaN,NaN,NaN
994,4hnj,3,NaN,NaN,NaN
995,4hsa,6,NaN,NaN,NaN
996,4hx3,12,NaN,NaN,NaN
997,4i0c,4,NaN,NaN,NaN
998,4i18,6,NaN,NaN,NaN
999,4i2x,6,NaN,NaN,NaN
1000,4i3r,3,NaN,NaN,NaN
1001,4i77,3,NaN,NaN,NaN
1002,4i9x,4,NaN,NaN,NaN
1003,4ic7,4,NaN,NaN,NaN
1004,4idj,3,NaN,NaN,NaN
1005,4ihh,12,NaN,NaN,NaN
1006,4ihl,3,NaN,NaN,NaN
1007,4iiq,3,NaN,NaN,NaN
1008,4ij3,3,NaN,NaN,NaN
1009,4ilg,3,NaN,NaN,NaN
1010,4ilw,4,NaN,NaN,NaN
1011,4imy,9,NaN,NaN,NaN
1012,4iof,6,NaN,NaN,NaN
1013,4ios,8,NaN,NaN,NaN
1014,4iw4,4,NaN,NaN,NaN
1015,4j2l,4,NaN,NaN,NaN
1016,4j4p,6,NaN,NaN,NaN
1017,4j6g,4,NaN,NaN,NaN
1018,4jan,6,NaN,NaN,NaN
1019,4jb8,3,NaN,NaN,NaN
1020,4jgh,4,NaN,NaN,NaN
1021,4jkp,3,NaN,NaN,NaN
1022,4jlr,6,NaN,NaN,NaN
1023,4jmf,3,NaN,NaN,NaN
1024,4jo6,6,NaN,NaN,NaN
1025,4jpk,3,NaN,NaN,NaN
1026,4jra,4,NaN,NaN,NaN
1027,4jrx,5,NaN,NaN,NaN
1028,4jry,5,NaN,NaN,NaN
1029,4jw3,4,NaN,NaN,NaN
1030,4jzj,6,NaN,NaN,NaN
1031,4jzw,4,NaN,NaN,NaN
1032,4k1r,4,NaN,NaN,NaN
1033,4k24,5,NaN,NaN,NaN
1034,4k2u,6,NaN,NaN,NaN
1035,4k3j,4,NaN,NaN,NaN
1036,4k5b,4,NaN,NaN,NaN
1037,4k71,6,NaN,NaN,NaN
1038,4k81,8,NaN,NaN,NaN
1039,4k94,3,NaN,NaN,NaN
1040,4k9e,3,NaN,NaN,NaN
1041,4kbb,4,NaN,NaN,NaN
1042,4kdi,4,NaN,NaN,NaN
1043,4kfz,4,NaN,NaN,NaN
1044,4kgg,4,NaN,NaN,NaN
1045,4kgq,4,NaN,NaN,NaN
1046,4kht,3,NaN,NaN,NaN
1047,4khx,3,NaN,NaN,NaN
1048,4kjy,4,NaN,NaN,NaN
1049,4kp3,6,NaN,NaN,NaN
1050,4kro,4,NaN,NaN,NaN
1051,4krp,4,NaN,NaN,NaN
1052,4kt5,3,NaN,NaN,NaN
1053,4kv5,8,NaN,NaN,NaN
1054,4kvg,4,NaN,NaN,NaN
1055,4kvn,3,NaN,NaN,NaN
1056,4kxz,12,NaN,NaN,NaN
1057,4leo,3,NaN,NaN,NaN
1058,4lgp,4,NaN,NaN,NaN
1059,4liq,3,NaN,NaN,NaN
1060,4llo,8,NaN,NaN,NaN
1061,4lmq,6,NaN,NaN,NaN
1062,4ln0,3,NaN,NaN,NaN
1063,4lqf,3,NaN,NaN,NaN
1064,4lqw,4,NaN,NaN,NaN
1065,4lrx,4,NaN,NaN,NaN
1066,4lrz,8,NaN,NaN,NaN
1067,4lu5,6,NaN,NaN,NaN
1068,4lxr,3,NaN,NaN,NaN
1069,4lyl,16,NaN,NaN,NaN
1070,4m1g,4,NaN,NaN,NaN
1071,4m38,4,NaN,NaN,NaN
1072,4m5z,3,NaN,NaN,NaN
1073,4m62,6,NaN,NaN,NaN
1074,4m6b,4,NaN,NaN,NaN
1075,4m8q,6,NaN,NaN,NaN
1076,4may,4,NaN,NaN,NaN
1077,4mhh,12,NaN,NaN,NaN
1078,4mhj,24,NaN,NaN,NaN
1079,4mi8,4,NaN,NaN,NaN
1080,4mit,8,NaN,NaN,NaN
1081,4mjs,24,NaN,NaN,NaN
1082,4ml7,4,NaN,NaN,NaN
1083,4mne,8,NaN,NaN,NaN
1084,4mp0,4,NaN,NaN,NaN
1085,4mqv,4,NaN,NaN,NaN
1086,4mqw,9,NaN,NaN,NaN
1087,4msm,4,NaN,NaN,NaN
1088,4myw,4,NaN,NaN,NaN
1089,4n7v,3,NaN,NaN,NaN
1090,4n8c,6,NaN,NaN,NaN
1091,4n8v,8,NaN,NaN,NaN
1092,4n9g,12,NaN,NaN,NaN
1093,4naw,16,NaN,NaN,NaN
1094,4ne9,5,NaN,NaN,NaN
1095,4nee,12,NaN,NaN,NaN
1096,4ng2,12,NaN,NaN,NaN
1097,4niq,4,NaN,NaN,NaN
1098,4nl9,4,NaN,NaN,NaN
1099,4nm8,12,NaN,NaN,NaN
1100,4nn6,3,NaN,NaN,NaN
1101,4noo,4,NaN,NaN,NaN
1102,4np4,5,NaN,NaN,NaN
1103,4nst,4,NaN,NaN,NaN
1104,4o1q,6,NaN,NaN,NaN
1105,4o27,3,NaN,NaN,NaN
1106,4od2,3,NaN,NaN,NaN
1107,4odx,6,NaN,NaN,NaN
1108,4ofy,6,NaN,NaN,NaN
1109,4ojk,4,NaN,NaN,NaN
1110,4ons,4,NaN,NaN,NaN
1111,4oqt,3,NaN,NaN,NaN
1112,4ov6,6,NaN,NaN,NaN
1113,4ovn,10,NaN,NaN,NaN
1114,4oyd,4,NaN,NaN,NaN
1115,4ozf,5,NaN,NaN,NaN
1116,4ozg,10,NaN,NaN,NaN
1117,4ozh,10,NaN,NaN,NaN
1118,4ozi,10,NaN,NaN,NaN
1119,4p1n,4,NaN,NaN,NaN
1120,4p23,4,NaN,NaN,NaN
1121,4p2c,11,NaN,NaN,NaN
1122,4p2o,5,NaN,NaN,NaN
1123,4p2q,20,NaN,NaN,NaN
1124,4p2r,20,NaN,NaN,NaN
1125,4p46,4,NaN,NaN,NaN
1126,4p59,3,NaN,NaN,NaN
1127,4p5t,8,NaN,NaN,NaN
1128,4p6i,6,NaN,NaN,NaN
1129,4p9h,4,NaN,NaN,NaN
1130,4pbv,5,NaN,NaN,NaN
1131,4pbw,6,NaN,NaN,NaN
1132,4pc0,4,NaN,NaN,NaN
1133,4peq,4,NaN,NaN,NaN
1134,4pgj,4,NaN,NaN,NaN
1135,4pj2,4,NaN,NaN,NaN
1136,4pj5,8,NaN,NaN,NaN
1137,4pj7,8,NaN,NaN,NaN
1138,4pj8,4,NaN,NaN,NaN
1139,4pj9,4,NaN,NaN,NaN
1140,4pja,8,NaN,NaN,NaN
1141,4pjb,8,NaN,NaN,NaN
1142,4pjc,8,NaN,NaN,NaN
1143,4pjd,8,NaN,NaN,NaN
1144,4pje,8,NaN,NaN,NaN
1145,4pjf,8,NaN,NaN,NaN
1146,4pjg,8,NaN,NaN,NaN
1147,4pjh,8,NaN,NaN,NaN
1148,4pjx,8,NaN,NaN,NaN
1149,4pl8,3,NaN,NaN,NaN
1150,4pp8,4,NaN,NaN,NaN
1151,4ps4,3,NaN,NaN,NaN
1152,4pvz,4,NaN,NaN,NaN
1153,4pwx,6,NaN,NaN,NaN
1154,4py8,4,NaN,NaN,NaN
1155,4pz6,4,NaN,NaN,NaN
1156,4q5e,3,NaN,NaN,NaN
1157,4q96,6,NaN,NaN,NaN
1158,4qci,6,NaN,NaN,NaN
1159,4qd2,10,NaN,NaN,NaN
1160,4qlb,8,NaN,NaN,NaN
1161,4qnp,6,NaN,NaN,NaN
1162,4qrp,12,NaN,NaN,NaN
1163,4qt8,4,NaN,NaN,NaN
1164,4qti,3,NaN,NaN,NaN
1165,4qzv,4,NaN,NaN,NaN
1166,4r2g,16,NaN,NaN,NaN
1167,4r8g,4,NaN,NaN,NaN
1168,4r8w,4,NaN,NaN,NaN
1169,4ra0,4,NaN,NaN,NaN
1170,4rdq,15,NaN,NaN,NaN
1171,4re1,4,NaN,NaN,NaN
1172,4rgm,6,NaN,NaN,NaN
1173,4rgo,3,NaN,NaN,NaN
1174,4rjf,6,NaN,NaN,NaN
1175,4rwt,4,NaN,NaN,NaN
1176,4s0s,4,NaN,NaN,NaN
1177,4s3o,6,NaN,NaN,NaN
1178,4thn,3,NaN,NaN,NaN
1179,4tq0,6,NaN,NaN,NaN
1180,4u0q,4,NaN,NaN,NaN
1181,4u2x,6,NaN,NaN,NaN
1182,4u30,8,NaN,NaN,NaN
1183,4u3j,3,NaN,NaN,NaN
1184,4u5w,4,NaN,NaN,NaN
1185,4u6h,6,NaN,NaN,NaN
1186,4u6v,6,NaN,NaN,NaN
1187,4ui0,3,NaN,NaN,NaN
1188,4ui1,4,NaN,NaN,NaN
1189,4uu9,6,NaN,NaN,NaN
1190,4uuz,3,NaN,NaN,NaN
1191,4uwq,12,NaN,NaN,NaN
1192,4uwx,4,NaN,NaN,NaN
1193,4uyp,4,NaN,NaN,NaN
1194,4v0m,8,NaN,NaN,NaN
1195,4v0n,8,NaN,NaN,NaN
1196,4v0o,8,NaN,NaN,NaN
1197,4v2c,4,NaN,NaN,NaN
1198,4v3k,6,NaN,NaN,NaN
1199,4w4l,3,NaN,NaN,NaN
1200,4w4o,3,NaN,NaN,NaN
1201,4wb2,5,NaN,NaN,NaN
1202,4weu,4,NaN,NaN,NaN
1203,4wfd,9,NaN,NaN,NaN
1204,4wnn,9,NaN,NaN,NaN
1205,4wo4,4,NaN,NaN,NaN
1206,4wuu,5,NaN,NaN,NaN
1207,4wv1,6,NaN,NaN,NaN
1208,4ww2,4,NaN,NaN,NaN
1209,4wwi,6,NaN,NaN,NaN
1210,4wwk,4,NaN,NaN,NaN
1211,4x4m,6,NaN,NaN,NaN
1212,4x7d,4,NaN,NaN,NaN
1213,4x7e,4,NaN,NaN,NaN
1214,4x7f,4,NaN,NaN,NaN
1215,4xhj,8,NaN,NaN,NaN
1216,4xhu,4,NaN,NaN,NaN
1217,4xi5,4,NaN,NaN,NaN
1218,4xkh,9,NaN,NaN,NaN
1219,4xkl,4,NaN,NaN,NaN
1220,4xl1,4,NaN,NaN,NaN
1221,4xlw,8,NaN,NaN,NaN
1222,4xnm,6,NaN,NaN,NaN
1223,4xoi,4,NaN,NaN,NaN
1224,4xr8,6,NaN,NaN,NaN
1225,4xvp,6,NaN,NaN,NaN
1226,4xxw,4,NaN,NaN,NaN
1227,4ybl,6,NaN,NaN,NaN
1228,4ydh,4,NaN,NaN,NaN
1229,4yiq,4,NaN,NaN,NaN
1230,4yiz,6,NaN,NaN,NaN
1231,4yk4,6,NaN,NaN,NaN
1232,4ypg,6,NaN,NaN,NaN
1233,4ypi,8,NaN,NaN,NaN
1234,4ywc,4,NaN,NaN,NaN
1235,4z2m,5,NaN,NaN,NaN
1236,4z5r,24,NaN,NaN,NaN
1237,4z80,4,NaN,NaN,NaN
1238,4z8l,6,NaN,NaN,NaN
1239,4z9v,8,NaN,NaN,NaN
1240,4zak,4,NaN,NaN,NaN
1241,4zff,6,NaN,NaN,NaN
1242,4zfg,3,NaN,NaN,NaN
1243,4zfo,6,NaN,NaN,NaN
1244,4zi2,4,NaN,NaN,NaN
1245,4zi3,4,NaN,NaN,NaN
1246,4zlt,4,NaN,NaN,NaN
1247,4zpt,6,NaN,NaN,NaN
1248,4zrk,8,NaN,NaN,NaN
1249,4zrp,4,NaN,NaN,NaN
1250,4zs6,6,NaN,NaN,NaN
1251,4zs7,3,NaN,NaN,NaN
1252,4zv4,4,NaN,NaN,NaN
1253,5a3i,8,NaN,NaN,NaN
1254,5a6w,3,NaN,NaN,NaN
1255,5aam,4,NaN,NaN,NaN
1256,5aaw,12,NaN,NaN,NaN
1257,5abv,8,NaN,NaN,NaN
1258,5agw,4,NaN,NaN,NaN
1259,5agx,4,NaN,NaN,NaN
1260,5ajk,12,NaN,NaN,NaN
1261,5anm,9,NaN,NaN,NaN
1262,5aoq,4,NaN,NaN,NaN
1263,5ayr,4,NaN,NaN,NaN
1264,5ays,4,NaN,NaN,NaN
1265,5b3h,6,NaN,NaN,NaN
1266,5b71,6,NaN,NaN,NaN
1267,5bk1,6,NaN,NaN,NaN
1268,5bo1,6,NaN,NaN,NaN
1269,5boz,12,NaN,NaN,NaN
1270,5bqe,3,NaN,NaN,NaN
1271,5brm,15,NaN,NaN,NaN
1272,5bt1,4,NaN,NaN,NaN
1273,5bvp,3,NaN,NaN,NaN
1274,5bw7,3,NaN,NaN,NaN
1275,5bw8,5,NaN,NaN,NaN
1276,5c07,10,NaN,NaN,NaN
1277,5c08,10,NaN,NaN,NaN
1278,5c09,10,NaN,NaN,NaN
1279,5c0a,10,NaN,NaN,NaN
1280,5c0b,10,NaN,NaN,NaN
1281,5c0c,10,NaN,NaN,NaN
1282,5c0n,6,NaN,NaN,NaN
1283,5c0s,3,NaN,NaN,NaN
1284,5c4v,6,NaN,NaN,NaN
1285,5c67,4,NaN,NaN,NaN
1286,5c6t,3,NaN,NaN,NaN
1287,5c7x,6,NaN,NaN,NaN
1288,5cd5,3,NaN,NaN,NaN
1289,5cff,8,NaN,NaN,NaN
1290,5chv,4,NaN,NaN,NaN
1291,5cjq,4,NaN,NaN,NaN
1292,5cjs,8,NaN,NaN,NaN
1293,5cmn,8,NaN,NaN,NaN
1294,5ctr,4,NaN,NaN,NaN
1295,5cw7,16,NaN,NaN,NaN
1296,5cx3,8,NaN,NaN,NaN
1297,5czf,4,NaN,NaN,NaN
1298,5czv,3,NaN,NaN,NaN
1299,5czx,6,NaN,NaN,NaN
1300,5d1q,5,NaN,NaN,NaN
1301,5d1x,5,NaN,NaN,NaN
1302,5d1z,10,NaN,NaN,NaN
1303,5d28,4,NaN,NaN,NaN
1304,5d2l,20,NaN,NaN,NaN
1305,5d2n,10,NaN,NaN,NaN
1306,5d3f,3,NaN,NaN,NaN
1307,5d50,16,NaN,NaN,NaN
1308,5d5m,8,NaN,NaN,NaN
1309,5d70,3,NaN,NaN,NaN
1310,5d71,3,NaN,NaN,NaN
1311,5d72,6,NaN,NaN,NaN
1312,5d7i,8,NaN,NaN,NaN
1313,5d7j,8,NaN,NaN,NaN
1314,5d7l,8,NaN,NaN,NaN
1315,5d8j,3,NaN,NaN,NaN
1316,5d93,6,NaN,NaN,NaN
1317,5d96,6,NaN,NaN,NaN
1318,5dcq,6,NaN,NaN,NaN
1319,5dfv,6,NaN,NaN,NaN
1320,5dh9,4,NaN,NaN,NaN
1321,5dha,4,NaN,NaN,NaN
1322,5di9,4,NaN,NaN,NaN
1323,5dju,4,NaN,NaN,NaN
1324,5dmi,3,NaN,NaN,NaN
1325,5dmj,6,NaN,NaN,NaN
1326,5do2,6,NaN,NaN,NaN
1327,5drz,6,NaN,NaN,NaN
1328,5dwu,4,NaN,NaN,NaN
1329,5e3e,6,NaN,NaN,NaN
1330,5e4e,3,NaN,NaN,NaN
1331,5e6j,6,NaN,NaN,NaN
1332,5e7f,6,NaN,NaN,NaN
1333,5e8d,3,NaN,NaN,NaN
1334,5e8e,4,NaN,NaN,NaN
1335,5E+094,6,NaN,NaN,NaN
1336,5e9d,10,NaN,NaN,NaN
1337,5eb1,4,NaN,NaN,NaN
1338,5edv,9,NaN,NaN,NaN
1339,5ee4,6,NaN,NaN,NaN
1340,5eib,4,NaN,NaN,NaN
1341,5eiv,11,NaN,NaN,NaN
1342,5ejc,6,NaN,NaN,NaN
1343,5eoa,4,NaN,NaN,NaN
1344,5eof,4,NaN,NaN,NaN
1345,5ep6,4,NaN,NaN,NaN
1346,5et1,4,NaN,NaN,NaN
1347,5eu6,5,NaN,NaN,NaN
1348,5eyp,3,NaN,NaN,NaN
1349,5ezo,3,NaN,NaN,NaN
1350,5f1b,3,NaN,NaN,NaN
1351,5f3b,6,NaN,NaN,NaN
1352,5f3x,4,NaN,NaN,NaN
1353,5f5o,6,NaN,NaN,NaN
1354,5f6k,7,NaN,NaN,NaN
1355,5fcu,3,NaN,NaN,NaN
1356,5ffo,8,NaN,NaN,NaN
1357,5fhx,3,NaN,NaN,NaN
1358,5fo8,3,NaN,NaN,NaN
1359,5fo9,6,NaN,NaN,NaN
1360,5foa,6,NaN,NaN,NaN
1361,5fob,3,NaN,NaN,NaN
1362,5fqd,6,NaN,NaN,NaN
1363,5ft8,16,NaN,NaN,NaN
1364,5fug,12,NaN,NaN,NaN
1365,5fv2,6,NaN,NaN,NaN
1366,5fvk,4,NaN,NaN,NaN
1367,5fw5,3,NaN,NaN,NaN
1368,5ghw,3,NaN,NaN,NaN
1369,5gim,4,NaN,NaN,NaN
1370,5grj,3,NaN,NaN,NaN
1371,5gvi,3,NaN,NaN,NaN
1372,5gwo,4,NaN,NaN,NaN
1373,5gwp,4,NaN,NaN,NaN
1374,5gy2,4,NaN,NaN,NaN
1375,5gzn,8,NaN,NaN,NaN
1376,5gzo,6,NaN,NaN,NaN
1377,5h07,3,NaN,NaN,NaN
1378,5h6q,3,NaN,NaN,NaN
1379,5h6r,3,NaN,NaN,NaN
1380,5hdq,3,NaN,NaN,NaN
1381,5hgg,4,NaN,NaN,NaN
1382,5hhm,10,NaN,NaN,NaN
1383,5hho,5,NaN,NaN,NaN
1384,5hk5,8,NaN,NaN,NaN
1385,5hlz,8,NaN,NaN,NaN
1386,5hpy,4,NaN,NaN,NaN
1387,5hvg,4,NaN,NaN,NaN
1388,5hxb,6,NaN,NaN,NaN
1389,5hyc,3,NaN,NaN,NaN
1390,5hys,12,NaN,NaN,NaN
1391,5i5k,6,NaN,NaN,NaN
1392,5ibk,6,NaN,NaN,NaN
1393,5ibl,8,NaN,NaN,NaN
1394,5ibw,3,NaN,NaN,NaN
1395,5ies,3,NaN,NaN,NaN
1396,5ifs,4,NaN,NaN,NaN
1397,5igx,3,NaN,NaN,NaN
1398,5iia,8,NaN,NaN,NaN
1399,5ikc,6,NaN,NaN,NaN
1400,5imy,4,NaN,NaN,NaN
1401,5ioh,4,NaN,NaN,NaN
1402,5ip4,4,NaN,NaN,NaN
1403,5itz,4,NaN,NaN,NaN
1404,5ius,4,NaN,NaN,NaN
1405,5ivx,5,NaN,NaN,NaN
1406,5j11,3,NaN,NaN,NaN
1407,5j13,3,NaN,NaN,NaN
1408,5j28,4,NaN,NaN,NaN
1409,5j3d,12,NaN,NaN,NaN
1410,5j3h,4,NaN,NaN,NaN
1411,5j4a,4,NaN,NaN,NaN
1412,5j7c,4,NaN,NaN,NaN
1413,5jdo,6,NaN,NaN,NaN
1414,5jem,8,NaN,NaN,NaN
1415,5jg6,4,NaN,NaN,NaN
1416,5jh5,4,NaN,NaN,NaN
1417,5jhf,10,NaN,NaN,NaN
1418,5jhl,3,NaN,NaN,NaN
1419,5jhw,4,NaN,NaN,NaN
1420,5jke,4,NaN,NaN,NaN
1421,5jlv,4,NaN,NaN,NaN
1422,5jmc,8,NaN,NaN,NaN
1423,5jq6,3,NaN,NaN,NaN
1424,5jsb,12,NaN,NaN,NaN
1425,5jsn,4,NaN,NaN,NaN
1426,5jtl,5,NaN,NaN,NaN
1427,5jtm,8,NaN,NaN,NaN
1428,5jtn,6,NaN,NaN,NaN
1429,5jto,8,NaN,NaN,NaN
1430,5jtp,8,NaN,NaN,NaN
1431,5jtq,6,NaN,NaN,NaN
1432,5jtr,8,NaN,NaN,NaN
1433,5jyl,4,NaN,NaN,NaN
1434,5jze,4,NaN,NaN,NaN
1435,5k59,8,NaN,NaN,NaN
1436,5kho,4,NaN,NaN,NaN
1437,5kn5,6,NaN,NaN,NaN
1438,5knm,4,NaN,NaN,NaN
1439,5kov,16,NaN,NaN,NaN
1440,5ks9,10,NaN,NaN,NaN
1441,5ksa,5,NaN,NaN,NaN
1442,5ksb,10,NaN,NaN,NaN
1443,5kvd,3,NaN,NaN,NaN
1444,5kvf,3,NaN,NaN,NaN
1445,5kvg,3,NaN,NaN,NaN
1446,5kw9,3,NaN,NaN,NaN
1447,5kwy,4,NaN,NaN,NaN
1448,5l2k,4,NaN,NaN,NaN
1449,5l6n,3,NaN,NaN,NaN
1450,5l6y,3,NaN,NaN,NaN
1451,5lcv,4,NaN,NaN,NaN
1452,5lgk,6,NaN,NaN,NaN
1453,5lp5,6,NaN,NaN,NaN
1454,5lpu,4,NaN,NaN,NaN
1455,5lqb,3,NaN,NaN,NaN
1456,5lrw,4,NaN,NaN,NaN
1457,5lxq,4,NaN,NaN,NaN
1458,5m2i,12,NaN,NaN,NaN
1459,5m2m,12,NaN,NaN,NaN
1460,5m36,4,NaN,NaN,NaN
1461,5m5e,3,NaN,NaN,NaN
1462,5ma5,4,NaN,NaN,NaN
1463,5mad,8,NaN,NaN,NaN
1464,5mak,4,NaN,NaN,NaN
1465,5men,5,NaN,NaN,NaN
1466,5mfc,4,NaN,NaN,NaN
1467,5mhs,9,NaN,NaN,NaN
1468,5mi0,3,NaN,NaN,NaN
1469,5mj3,3,NaN,NaN,NaN
1470,5mjy,6,NaN,NaN,NaN
1471,5mk0,4,NaN,NaN,NaN
1472,5mn2,4,NaN,NaN,NaN
1473,5mr4,4,NaN,NaN,NaN
1474,5mr5,4,NaN,NaN,NaN
1475,5mrv,3,NaN,NaN,NaN
1476,5mu3,6,NaN,NaN,NaN
1477,5mzv,4,NaN,NaN,NaN
1478,5n47,6,NaN,NaN,NaN
1479,5n48,4,NaN,NaN,NaN
1480,5n4w,5,NaN,NaN,NaN
1481,5n7w,6,NaN,NaN,NaN
1482,5n88,4,NaN,NaN,NaN
1483,5nan,6,NaN,NaN,NaN
1484,5ngv,3,NaN,NaN,NaN
1485,5nh3,6,NaN,NaN,NaN
1486,5nhu,9,NaN,NaN,NaN
1487,5nmv,3,NaN,NaN,NaN
1488,5nnp,8,NaN,NaN,NaN
1489,5nqw,4,NaN,NaN,NaN
1490,5nt1,6,NaN,NaN,NaN
1491,5nt7,4,NaN,NaN,NaN
1492,5nvk,8,NaN,NaN,NaN
1493,5nvl,4,NaN,NaN,NaN
1494,5nvm,4,NaN,NaN,NaN
1495,5nvn,4,NaN,NaN,NaN
1496,5nzz,8,NaN,NaN,NaN
1497,5o03,4,NaN,NaN,NaN
1498,5o05,4,NaN,NaN,NaN
1499,5o0w,8,NaN,NaN,NaN
1500,5o2s,8,NaN,NaN,NaN
1501,5o2u,4,NaN,NaN,NaN
1502,5o4e,6,NaN,NaN,NaN
1503,5o74,12,NaN,NaN,NaN
1504,5o76,6,NaN,NaN,NaN
1505,5oc7,4,NaN,NaN,NaN
1506,5odw,4,NaN,NaN,NaN
1507,5ohm,12,NaN,NaN,NaN
1508,5ohp,3,NaN,NaN,NaN
1509,5omb,4,NaN,NaN,NaN
1510,5omm,3,NaN,NaN,NaN
1511,5ona,6,NaN,NaN,NaN
1512,5oo6,24,NaN,NaN,NaN
1513,5oob,11,NaN,NaN,NaN
1514,5osh,12,NaN,NaN,NaN
1515,5otj,6,NaN,NaN,NaN
1516,5otx,4,NaN,NaN,NaN
1517,5ovw,12,NaN,NaN,NaN
1518,5sv3,4,NaN,NaN,NaN
1519,5sws,5,NaN,NaN,NaN
1520,5swz,20,NaN,NaN,NaN
1521,5sx4,6,NaN,NaN,NaN
1522,5sx5,6,NaN,NaN,NaN
1523,5sxp,6,NaN,NaN,NaN
1524,5sy8,3,NaN,NaN,NaN
1525,5t1d,5,NaN,NaN,NaN
1526,5t29,3,NaN,NaN,NaN
1527,5t5b,6,NaN,NaN,NaN
1528,5t5f,3,NaN,NaN,NaN
1529,5t5w,3,NaN,NaN,NaN
1530,5t6l,6,NaN,NaN,NaN
1531,5tdy,4,NaN,NaN,NaN
1532,5te4,3,NaN,NaN,NaN
1533,5te6,3,NaN,NaN,NaN
1534,5te7,3,NaN,NaN,NaN
1535,5tez,5,NaN,NaN,NaN
1536,5tfw,3,NaN,NaN,NaN
1537,5tgh,8,NaN,NaN,NaN
1538,5th9,9,NaN,NaN,NaN
1539,5thp,18,NaN,NaN,NaN
1540,5tl6,4,NaN,NaN,NaN
1541,5tl7,4,NaN,NaN,NaN
1542,5toj,6,NaN,NaN,NaN
1543,5tru,6,NaN,NaN,NaN
1544,5tte,3,NaN,NaN,NaN
1545,5tuv,6,NaN,NaN,NaN
1546,5twa,4,NaN,NaN,NaN
1547,5tz2,3,NaN,NaN,NaN
1548,5tzn,4,NaN,NaN,NaN
1549,5tzq,4,NaN,NaN,NaN
